3,New Chains of Honour,1,,N C O H²,35|7,693|693
79,The Templars,52,,Templars,93|363|173|545|336|33|51|606|246|387|295|396|34|65|133|116|98|721|395|185|120|586|551|75|73|255|188|210,5058|301|3621|3894|2490|236|3335|3031|5588|547|4590|4294|11416|3748|14027|3465|279|4003|2099|3994|1951|3771|11270|8734|5988|975|4078|3356|1794|3624|5005|5507|1775|2475|11604|4050|9621|9188|11158|6734|13761|11093|18972|2489|17049|11339|13030|1221|17184|13956|20462|22550
80,Northern Devonia,35,,ND,596|617|783|550|135|535|107|545|191|31|223|363|210|179|235|93|160|398|34|387|181|232|143|7|100,423|385|1576|7510|6986|1307|881|437|6476|419|1803|868|4994|17759|13631|13258|5894|296|13160|17417|18513|6597|370|2921|4486|263|3947|15505|9986|10710|19133|14271|17109|19228|22183
81,Renshai,1,,Renshai,,22574|3407
83,The Spartans,4,,Sparta,,22574|1177|378|4189|1228
85,Boom Training,1,,Boom*T,107|235|100|296|177|108|232|7|10|19|8|310,2637
89,Fight For Honour,56,,FFH,780|53|159|243|539|73|75|74|363,5421|3505|2844|3812|4116|7879|3680|3645|3546|1528|6074|14737|5201|4447|9709|5197|3635|2536|5167|3038|3756|7065|9581|9014|10812|6119|4621|11209|1646|2702|3892|6770|1648|3778|3980|4087|3575|7681|2777|8830|3008|3719|8260|1415|7949|2886|1785|3029|10310|3879|16708|16303|6873|2714|3658|12153
93,Bad Lads Army ,51,,~~BLA~~,219|79|41|393|497|398|699|173|33|617|790|599|107|235|80|8|22|44|54|51|387|120|336|65|206,254|91|212|281|22320|6|5015|72|549|160|6|90|91|273|14666|3768|333|501|417|72|14586|10166|254|12699|10663|5053|5015|3078|12753|203|212|10555|537|13921|16284|41|14033|281|16161|11843|7435|12958|11398|18809|12644|16398|15675|6947|12341|11082|464|17805|17150|3094|11507|22276|22176|22323|22320
94,To The Top,2,,T-T-T,261|491|126|269|235|160|7|108|16|19|218|574,6017|1829
98,Yakuza Southwest,44,,ykz*SW,721|116|79,4688|4063|4165|4485|2074|4563|519|5125|4928|4656|2643|1282|5700|3092|4503|739|4297|2989|1774|2895|2642|9177|8691|5928|8135|1930|4934|12305|4855|7819|4256|3328|2499|1365|3842|7294|3021|4585|2660|4276|1178|7084|12522|6088
100,GATU - MARS Union Academy,14,,[GMU] -A,398|8|34|235|85|187|171|244|7|606|345|44|80|19|210|164,327|914|327|2255|914|5742|1741|15270|3916|10148|12950|3459|4955|14984|12932|10312
106,THR33 SIX3S,7,,HELL,551|107|700|76,1414|6951|4783|13629|7035|7938|2722
107,The Empire,45,,EMPIRE,617|545|236|620|550|599|80|355|473|504|206|171|85|7|44|60|28|106|187|164|93|15|235|210|69|160|6|387|22|522,2745|6414|2719|8014|2041|3553|11750|10631|11635|6626|6141|2644|250|13808|10725|4040|8338|10509|8862|6278|2016|6394|10993|13800|13157|14688|2415|2148|8294|7383|1788|8256|14692|2456|10999|8109|15748|1843|6439|8693|11734|20407|14071|19512|12148
108,Code Of Honour,3,,*C.O.H*,7|31|235|24|22|85|160|8|94|164|33|246|181|19,5141|2568|2273
