1,Multihunter,14,5914,1,Romans,4,320801&c=38
2,Asterix,1615,106,3,Gauls,721,316788&c=1f|316789&c=ed|317589&c=14
3,Black Blood,467,944,2,Gauls,114,324013&c=df|324014&c=0f
4,Perturabo,285,1790,1,Gauls,133,317592&c=dc
5,CLEMO,145,3006,1,Romans,,318393&c=fd
6,Fosters,798,421,2,Gauls,93,313589&c=a0|640900&c=af
7,maximus 5000,455,985,1,Romans,73,315196&c=9f
8,Hera44,545,778,1,Romans,131,319995&c=1f
11,aggiepoos,538,789,1,Romans,131,319992&c=cc
13,Drac,204,2425,1,Gauls,,314394&c=05
14,comeplayme81,649,578,2,Romans,73,320008&c=b2|356776&c=ef
16,Chimp,1358,155,3,Romans,75,315996&c=01|314396&c=24|265483&c=69
17,debz,354,1407,1,Romans,387,324797&c=62
19,Aggies,994,273,3,Gauls,721,327210&c=7a|324812&c=58|324813&c=56
23,don franchi,1358,154,4,Romans,73,317598&c=2e|318399&c=ae|317599&c=22|318400&c=34
24,Galen,420,1104,1,Romans,93,324802&c=7d
25,rjo,393,1222,2,Romans,,313595&c=45|323339&c=1e
31,kraygus,1012,262,3,Gauls,75,322396&c=66|324800&c=db|323199&c=63
34,mracius,1864,74,4,Gauls,75,320006&c=4d|316048&c=51|316849&c=17|328865&c=eb
38,Came-a-lot,140,3069,1,Romans,65,315988&c=79
40,Mich,623,628,2,Teutons,133,312793&c=e5|313594&c=e4
41,afro al,292,1755,1,Romans,93,315191&c=23
42,Greybeard,1921,71,4,Teutons,73,317596&c=f1|318396&c=7c|316792&c=08|345634&c=5a
46,temari_sama,359,1384,2,Gauls,73,318397&c=05|316796&c=ec
55,Noel,681,547,2,Gauls,89,319994&c=21|312017&c=74
57,i_hate_beckham,561,753,2,Gauls,767,319208&c=9f|314402&c=ef
58,jack,894,334,3,Romans,73,314399&c=7b|280819&c=3d|280018&c=44
60,-H-,1552,118,4,Gauls,114,321593&c=81|322394&c=64|321596&c=f7|321597&c=87
70,pilotfish,1117,221,3,Romans,75,312802&c=14|315208&c=35|313603&c=51
72,mitchell,443,1025,2,Romans,93,312788&c=2d|637696&c=38
73,Rincewind,288,1775,1,Romans,,319996&c=42
74,The Timelord,718,508,2,Gauls,235,319192&c=e7|318390&c=8e
81,IGOR,104,3606,1,Gauls,,327216&c=50
82,Walt,682,544,3,Gauls,75,323196&c=a4|323197&c=c9|322397&c=74
84,kimus,424,1094,1,Romans,73,321595&c=2e
87,diddles,516,829,2,Teutons,75,319194&c=ff|319195&c=4f
90,GKL,769,452,3,Romans,93,324817&c=62|325618&c=18|324816&c=16
91,Soulofcoal,722,505,3,Teutons,93,326401&c=9f|327203&c=fa|328005&c=95
96,acaldwell,204,2424,1,Romans,61,324000&c=78
99,tommo365,960,288,2,Romans,188,332016&c=19|516245&c=5f
105,Blue442,912,321,2,Gauls,721,329620&c=84|330422&c=d4
107,Kohonen,1401,144,4,Gauls,73,314393&c=43|323995&c=73|323996&c=5d|323193&c=7e
110,Althamus,771,447,2,Romans,721,317590&c=d8|315185&c=e3
112,SAF,1065,245,3,Gauls,206,308783&c=ba|295072&c=19|307980&c=f1
115,pinkelephants,565,751,1,Romans,133,325606&c=6b
117,anjing,707,517,2,Romans,206,313582&c=51|312782&c=89
118,graystest,767,453,2,Romans,114,328809&c=b6|432139&c=e1
121,Gowron,244,2079,1,Romans,,311191&c=df
124,Ebb,142,3039,1,Gauls,,328811&c=9b
125,jackdw,599,665,2,Gauls,33,326403&c=da|339228&c=e2
126,crazyboy11,497,874,2,Gauls,188,332014&c=e6|337624&c=ec
133,socom,446,1016,2,Gauls,387,319199&c=c1|319202&c=0d
135,A Dot,1010,264,4,Teutons,721,332021&c=94|330416&c=39|330420&c=83|331217&c=4d
145,xPrincesSlayeRx,178,2663,1,Romans,377,311981&c=00
146,Der Teutone,494,877,2,Teutons,73,308785&c=03|347267&c=b6
149,Ti_Geer,1322,161,2,Romans,721,320012&c=82|318491&c=db
151,thealmightygoat,330,1514,2,Teutons,65,319986&c=c6|319985&c=4e
153,thebhoy,167,2769,1,Teutons,65,311187&c=a9
155,Jammy,503,857,2,Romans,,326397&c=3a|326398&c=a1
158,bigbird,1464,131,3,Romans,114,329621&c=d3|328821&c=b3|328822&c=b2
